,Modified_Commentary
4518,"FOUR, 144.5kph, that's nicely picked away off the hips by batsman. Another pacy short of length delivery, actually on the stumps, but Suryakumar got inside the line and helped it away past the man at 45"
4519,"SIX, has he hit that alright? Oh yes he has! Been trying a few shots, but he's bravely raced down to a bowler who's kept him calm, the best part about it was he picked this slower ball, got into great position and absolutely smashed that over long-on. First six of the night for Ishan"
4520,"SIX, unbelievable hit! batsman is very, very good with that pick up shot of his. He's moved across a touch to this fullish delivery on the stumps and whipped away with his lovely wrists with great timing, all the way over the long-leg boundary"
4521,"FOUR, looked like it was going to either short third man or backward point for a moment, but batsman has managed to split them with this uppish cut. Poor delivery from Kulkarni, gave too much width. Mumbai have picked up pace"
4522,"FOUR, massive space for sale beyond mid-wicket and batsman, who is not afraid to walk across the stumps, meets this length ball with a flick to the right of mid-wicket and greets bowler with a boundary first up"
4523,"FOUR, this time he connects with the sweep, he actually played this with one hand. This line is a little more straighter than the previos one, Suryakumar hits the big gap at deep backward square leg"
4524,"FOUR, Archer dives but fails to stop the ball at deep mid-wicket. Short delivery on the stumps, Suryakumar pulls, deep mid-wicket runs to his left, actually got there but made a mess of it"
4525,"SIX, oh shot! Hit on one leg. bowler tried a similar ball to the previous one, Ishan connects with the pull this time despite being cramped for room and it hits the backward square leg rope on the full"
4526,"FOUR, Ishan knows he's going to bowl short, it's down the leg side and he helps himself to a boundary with a pull shot behind square on the on-side"
4527,"SIX, whata a way to bring up the fifty - off 29 balls. Flighted delivery outside off stump, Suryakumar leans forward and lofts the drive inside-out handsomely over cover. Gentle raise of the bat to the team and the crowd"
4528,"FOUR, there's a short fine leg in place but this leg-stump delivery deserves nothing less than a boundary. Tripathi crouches and glances it wide of the fielder at 45"
4529,"SIX, all the innocous-ity. 92kph, dug in half way into the pitch, turning into him down leg too. batsman waits. And waits. And swivels, rejecting the wide to pull it into fine leg"
4530,"FOUR, now the overcook. bowler tries sneaking in a quiet one, wide, full. Can't. batsman' up there smart, reaching out and drilling it through extra cover. Here's the move on .. 16 runs in it"
4531,"2 runs, drifting into middle. Whipped down the ground, and long-on's sloppy"
4532,"FOUR, sits up perfectly. batsman up there tall, already given himself loads of room and carts it over the covers. Nothing streaky here"
4533,"out Bowled!! It's in the blockhole. batsman has been walking all across, but has been getting down in time to dig things out. Until this one. It's full, it's into the base of leg, and batsman' walked across, freezing in front of the stumps as he tries using the angle to swipe it behind square. Done in for pace. Done in for dip. This is exactly where Rajasthan need to avoid doing a Mumbai. batsman b bowler 40(27) [4s-3 6s-1]"
4534,"FOUR, latches on. It's that sitting up length, and batsman goes flat-batted, riding the bounce and timing the leather off it through cow corner, splitting the two men converging. In the hope of converging"
4535,"2 runs, grips on a length, turning away slowly. batsman merely defends, and its into the vast mid-off gaps to pinch a couple. And a ninth IPL fifty"
4536,"out Caught by Hardik Pandya!! It was all timing till it lasted. The moment it deserts him, he falls. It was bowler's famed slower gripper, batsman tries hoicking it into cow corner. Gropes only the toe-end, spoons high and Hardik runs in. Nah, he ain't messing these up. batsman c Hardik Pandya b bowler 52(39) [4s-4]"
4537,"out Bowled!! Perfect peach. And Rajasthan are well and truly doing a death over Mumbai. bowler's the Jofra in the remake. Nothing slow here, full paced, 144kph, hitting the good length, seaming in sharply and staying low to go through the bat and pad on batsman's meek prod forward. batsman b bowler 6(8)"
4538,"out Caught by Ishan Kishan!! The bridge is falling. The fortess is falling in dramatic fashion. batsman gets himself a golden duck on his home debut. Fizz comes up with his go-to ball - a cutter slanting across. batsman with flat feet looks to drive away from his body, gets the customary edge and Ishan's diving low to his right to collect. Yes his black eye doesn't stop him from judging these perfectly. batsman c Ishan Kishan b bowler 0(1)"
4539,"SIX, rocks back, deep in the crease, getting that front leg out once again. And targets the smallest part of the ground - cow corner. And swings. Smoking"
4540,"FOUR, edge. And the Royals have a massive edge of life. 15 off this one and all of a sudden there's oxygen still there in this one. A low full toss, across batsman, who throws his bat out in an attempt to slice. He'll make his peace with the edge, running past the keeper"
4541,"FOUR, very, very Caribbean. Okay former Caribbean. Archer transfer back, lets the ball get on par and waits on his drive, opening it to pierce the gap behind point. And that gap is huge"
4542,"FOUR, utter disdain. Take that .. width, pace and it is back in that point zone. Thumped hard. How things turn"
4543,"FOUR, goes pulling. And goes into the gap. Doesn't get enough meat, and thank heavens for that. It goes a lot finer, beating square leg in the ring. It's 10 off the final over. And you thought this was over, twice"
4544,"out Caught&Bowled!! Another twist. Agatha Christie would be so damn proud. Pandya lets out the bouncer, neatly directed into the head, and Archer's pulls in desperation, top-edging it high. Pandya takes matters into his own hands. Calls and holds his nerve. batsman c and b bowler 8(9) [4s-1]"
4545,"FOUR, top thinking. He's spotted third man inside the ring, and ramps his bat out to shove it over. Wrong line, wrong length"
4546,"SIX, it's in the orbit. It's into the car park. And batsman turns hero - coming right at the climax, scoring at a strike rate of 300. Gets a juicy back of a length ball, in the slot and flat-bats it across the line. Into the clouds. And then cow corner"
4547,"out Caught by Suryakumar Yadav!! Even bowler cannot believe it. Gets that rainbow-from-this-palm-to-other pose dead right. A bit of loop after that first ball, and Tripathi middles this straight to mid-on. Straight to him. Would have wanted to go over the fielder but times it right into his hands. Well, this debut at the top doesn't go so well.. batsman c Suryakumar Yadav b bowler 9(8) [4s-1]"
4548,"FOUR, now what do I call that.. Will be an outside edge to the naive but this has been cleverly played late and just wide of the keeper. Bat face opens at the last minute and bowler's grounded. Sort of. We'll see"
4549,"FOUR, full and wide, and the long-limbed batsman is not going to miss out. Reaches out, with footwork into a snooze, but who cares. It's all hands. Creams the drive through covers. Bullets it. Surgeons it. Whatever. It's batsman, okay? We're allowed to drool this season"
4550,"FOUR, proper batsman. Early to load onto the front foot and then drills it away through covers. Nothing bowler could have done, except maybe pitching it a bit shorter. But then batsman might have come up with something else"
4551,"out Caught by Krunal Pandya!! bowler had pared down Rajasthan with pace, or the lack of it. Three slower deliveries in a row and that was it for batsman. Takes it on with a flat-batted swat and all he manages is a toe-end to mid-wicket. Krunal's tall and leaps a little to take this screamer. It's a pun alright, because you should have seen Krunal screaming. batsman c Krunal Pandya b bowler 14(17) [4s-1]"
4552,"FOUR, that's why you can't not like him. bowler strategy is pretty obvious: Bowl it slow and angle it across, because there's third man and backward point waiting to cut the runs off. And batsman here has found the tiniest of gaps between the fielders. Beautifully done, opening the bat face just enough to cleave the fielders"
4553,"FOUR, this spins more, so this is the googly from back fo the hand. batsman gets into a shape to sweep nicely and brooms it away through mid-wicket"
4554,"no run, bowler is excited but that looks high. Traps batsman on the shuffle with this delivery. Oh they've gone for the review. It's hit the knee-roll bang in front of off-stump, so the impact is alright. But as we doubted, the bounce in this Jaipur deck is taking the ball over the stumps -- the ball-tracking confirms. So not out it'll be and Mumbai lose their review"
4555,"FOUR, pumped over mid-off for first IPL runs. It wasn't as close as you want to hear it was. Chipped the loft over Ashwin, who's tall enough. Good use of the length ball and the slight width that batsman used to use his arms into effect"
4556,"no run, Ashwin reviews. Makes sure first with the keeper that it was straight enough and then goes for it. Last ball from bowler was the one that shaped away and beat batsman, and this straightened and slithered on to rap batsman's front pad's flap. But tell you what, this is just a bit naff, this review. Pitches almost a foot outside leg-stump, and it's not out -- just as the on-field umpire thought"
4557,"FOUR, throws his hands at this wide ball that's been angled across by bowler from over the wicket. And gets away. Backspins and beats the keeper to his left"
4558,"FOUR, wow, get the thesaurus out. That's been cracked away with utter disdain. Short and wide yeah, but look at the sound the bat makes. Pinches the slightest gap at point and lasers it away"
4559,"FOUR, that's a bit ambitious.. and he's gotten some lucky runs here. Stays back and wants a stylish and uppish back foot punch through covers. Not in control of the bounce and the outside edge flies over the lone slipper in place"
4560,"FOUR, off-spin was working alright against batsman in the previous over for bowler and he gets whacked trying to bowl leg-spin. Short and wide, Shreyas absolutely nails it off the back foot wide of cover"
4561,"out Christian Run Out!! 1 run completed. bowler was confident after whipping the bails off and he was spot on. Shortish from bowler, Shreyas flicks it wide of long-on, Mayank rushed to the ball and fired in a perfect through on the bounce and adjacent to the sticks. bowler shatters the stumps. The second run was on and Christian should have been a touch more quicker. TV umpire has a look and catches Christian a few inches short. Christian run out (Mayank Agarwal/bowler) 6(11)"
4562,"no run, the appeal was so loud and confident that the umpire was under a lot of pressure, fair on team's part because they thought it was a genuine edge, but the fact that batsman immediately smiled and reviewed clearly suggested he didn't hit this. Maybe the ump should have originally given the benefit of doubt to the batsman, because the bat also hit the ground. Wide yorker, batsman tried to squeeze, missed it completely and there's no spike on UltraEdge. Review saves batsman"
4563,"FOUR, overpitched and Shreyas drills it straight down the ground between the sticks and the non-striker, long-on and long-off had no chance"
4564,"SIX, that's a brilliant hit under pressure. bowler, why did you run in and bowl a full ball in the slot? He followed batsman who was backing away, but landed perfectly for Tewatia to tee off over long-off"
4565,"FOUR, what a timely hit! He's moved across the stumps, got down on his knees and paddled the fast bowler around the corner through backward square leg. Brave hit! bowler missed the yorker again and offered a full ball on the stumps"
4566,"out Caught by Rahul!! Got to be a slower into the pitch and it's done the trick. Maybe bowler won't mind about bowling the extra ball now with the wide call earlier. This was cleverly angled across the left-hander on a good length, Tewatia goes for a big slog and gets an edge that goes slowly to Rahul. batsman c Rahul b bowler 24(21) [4s-1 6s-1]"
4567,"out Caught by Nair!! And what does he do first ball? Advances and connects well, but finds the fielder at deep backward square leg. It was a short slower ball, batsman wanted to flick that in the gap wide of deep mid-wicket, but hit it too square and too well. batsman c Nair b bowler 0(1)"
4568,"SIX, smashed, short and outside off stump, Shreyas flat-bats the loft over long-off. Fifty up for batsman, good knock but he needs to connect them well from here on"
4569,"FOUR, inside edgeeee and it's past the dive at short fine leg. Lucky boundary and it's down to 5 runs off the last ball. Shreyas races down the pitch and slogs, gets a thick edge"
4570,"out Bowled!! That's not a bad debut at all. Dropped a catch in the first innings but walked in to bat in all his elements. Was a bit overamibtious here, you could say, and bowler has beaten him with a 134ks delivery. Shaw tried a hack across the line, missed the seam-up delivery and lost the top of his off-stump. batsman b bowler 22(10) [4s-4]"
4571,"FOUR, timing isn't something batsman has made a name out of, but if these continue, we'll need a rethink. Archaism, I tell you. Gets a delivery on the pads and times the hell out of it through mid-wicket"
4572,"out Caught by Finch!! In the air, hasn't hit this well and Finch runs around to his left from long-off to take the catch. What a squeeze this is from team. batsman is distraught and he looks towards the sky. The flatter delivery outside off stump, Shreyas slices the loft high in the air as the ball spun away from him. He wanted to go over long-off. batsman c Finch b bowler 57(45) [4s-5 6s-1]"
4573,"SIX, that's flown away like it belongs to the stands. Full pace at 136ks and steaming into the pads, and batsman's just flunked it over backward square leg with a bat swing. Sounds easy, right?"
4574,"out Caught by Andrew Tye!! They're checking bowler's front foot but he's fine. A bit of a sudden rush of blood from batsman, but he bats like that, doesn't he? Didn't read the cutter that was pitched on a back of a length, went for the mightly hack across the line and sliced it off the toe-end to deep mid-wicket. There were two other fielders running back from inside the ring but that was Tye's catch all the way. batsman c Andrew Tye b bowler 12(10) [4s-1 6s-1]"
4575,"out Caught by Finch!! They all want to go home. batsman is a bit early into tucking this seam-up delivery on a back of a length, and pops a leading edge to mid-off. Sticky Kotla? Certainly for Delhi, now. batsman c Finch b bowler 4(13)"
4576,"FOUR, short ball sitting up, and batsman pulls it with authority through deep mid-wicket"
4577,"FOUR, beautifully sliced wide of backward point's leap and that's been let through by Mujeeb, who's running across from third man. Covers the ground, slides but can't stop the ball. Was almost in control but then wasn't"
4578,"out Bowled!! Through 'im! Carrom ball from round the wicket this, and it spins in to cleave batsman into two. He's trying to clip it through mid-wicket, doesn't have his head around this variation (or bowler's stock ball?) and succumbs. batsman b bowler 4(7)"
4579,"out Caught by Shreyas Iyer!! Huge wicket! Just like Rahul, batsman is also beaten for pace in his first ball against Avesh and the young lad has knocked the Aussie off. Superb stuff and he is pumped up. Back of a length outside off, clocked 148.7kph and it did seem really fast off the surface as well. batsman too didn't help his cause as he just tried to use his hands to lift this away down the ground. Wasn't there for that shot, not with this kind of pace and he was late as well. Popped an easy catch towards extra cover. batsman c Shreyas Iyer b bowler 2(4)"
4580,"FOUR, inside-out. That's some welcome. A wobbly seam off a length, looking to follow batsman as he backs away. But he goes uppish, lofting up a drive over extra cover"
4581,"FOUR, 141kph. And an inside edge allows batsman the move on. He tries going against the line, pulling, without judging the length not being short enough .. inside half, and Pant diving behind deflects it into fine leg"
4582,"out Caught by Pant!! The inside-edge luck runs out. And eventually the inside-edge takes him to his doom. Blame it on his feet refusing to move, yet again. Avesh keeps it on a back of a length, batsman loads up again to flat-bat across the line. Inside-tickle, and no matter how loud Kotla is, the nick is louder. batsman c Pant b bowler 14(17) [4s-1]"
4583,"1 run, put down. Maxwell of all people. batsman decides to go onto his back foot, slaps, uppishly without control and extra-cover couldn't have been found any better. Maxwell's surprised too, and the surprise means there's nobody backing up his throw as well"
4584,"no run, now Prithvi. Oh these catches keep going down -- the simplest of them. batsman is foxed by the wrong 'un, again, as he goes deep in the crease to some-sort-cut. Chipped up, straight to extra cover in the ring. Shaw gets both hands, perhaps closing them a little too early. Debut nerves"
4585,"SIX, downtown. Talk about rubbing it in. Two lives, and a celebration with a hoick straight down. All muscle, perbably denting the sightscreen"
4586,"FOUR, another one in anger. Oh bowler, typically after a catch being put down takes his frustration out by going fast, on the pads and batsman cashes in with a sweep, drilling it perfectly to split the two fielders behind square"
4587,"out Caught by Shreyas Iyer!! The time-out syndrome. batsman had to kick on, and he decides to do it with a lofted whip. The ball just doesn't come on, sticks, grabs the inside half of his bat and for a change somebody can catch. But Iyer almost keeps up with the trend - running across from long-on and juggling. Just. batsman c Shreyas Iyer b bowler 34(32) [4s-4]"
4588,"FOUR, to third man, splits the slips. One slower ball too many, batsman's already standing exposing his stumps, swings in desperation and the fat edge is enough to run through the cordon. Who'll plug these in the 18th over .."
4589,"out Caught by Plunkett!! Add another to his repertoire. When he doesn't have the ball in hand, the ball will follow him in the field. A full floater from bowler, inviting an away from the body drive. Sliced uppishly, flat and Plunkett at deep sweeper dives forward. The catches can be taken again. batsman c Plunkett b bowler 26(19) [4s-1 6s-1]"
4590,"leg byes, FOUR, slower in on the pads. Tye can't connect, flicking well before it gets there, rebounds and runs very fine, under Pant's late dive"
4591,"out Caught by Rahul Tewatia!! Wide yorker, well in the allowed-zone this time. batsman stretches, and he knows there's nobody square of the wicket in the deep. All he has to do is clear point. Tries squeezing his steer, but ends up spooning it out to backward point, where Tewatia times his jump superbly, reverse cupping. batsman c Rahul Tewatia b bowler 6(7)"
4592,"FOUR, streaky runs! Terrific end to what has been a sensational over from Avesh. On a good length just outside off, 143.7kph and batsman was late on the forward push. Got a thick inside edge that just flew past leg stump and with fine leg really square, bonus runs for team"
4593,"FOUR, crashed away! Short of a length angling across Mayank, a bit of width and he stands tall to flay the cut through point. Cracking stroke!"
4594,"FOUR, delicious, absolutely delicious stroke! More width and the length is shorter as well, Mayank doesn't go hard at it, instead relies purely on timing and boy, didn't he time this or what? Stays back and guides it past the left of the backward point fielder and it raced away. Third man had no chance at all"
4595,"FOUR, would have been a wide if batsman left this but he chooses to go after it. Didn't time it well enough, still clears the infield on the off-side comfortably. Shorter length slower ball that was lifted over cover"
4596,"out Bowled!! Dragged on. bowler goes back to his trusted full-wide yorker. Tye loads up for yet-another-hoick, giving it his all in his swing. Gets some bat for a change, it's the inside-edge and it's chopped onto off. A four-run-wicket final over, you really can't get greedier. batsman b bowler 3(9)"
4597,"SIX, terrific stroke! batsman is in some serious form and we've seen it already this season. Dug in short and angling into the body, he just shuffles across to get inside the line and uses the pace to control the pull. Easily over fine leg for a biggie"
4598,"FOUR, kabooom! Mayank is off the blocks in a flash once more. Short of a length outside off, he just backs away a bit and hammers it on the up through the covers. Found the gap well and nobody really budged"
4599,"FOUR, up and over! Cannot bowl this length in the Powerplay, not on a true surface like this one. Half-volley and batsman lifts it straight over the bowler's head. Perhaps not middled as much as he would have liked but still got enough on it"
4600,"out Caught by Avesh Khan!! Excellent catch! It's the young man Avesh Khan, you cannot keep him out of the action and this is a massive wicket for DD. The dangerous batsman needs to depart. Clever from bowler, the slower ball on a shorter length and I don't think that batsman picked this variation. Went across on the back foot for the short arm jab but got no pace to work with at all. Mistimed it badly and Avesh at short fine leg judged it brilliantly with a dive forward. Plucked it inches above the ground. Brilliant! batsman c Avesh Khan b bowler 23(15) [4s-3 6s-1]"
4601,"FOUR, glorious! Top quality stuff from batsman! Half volley from Avesh but look at the execution. Textbook front foot cover drive on the up. Brilliantly timed and picked the gap as well"
4602,"FOUR, smart from bowler but Karun is smarter. Slower and short outside off, probably foxed the batsman initially but he adjusted well in the end. Stood tall and waited before guiding it past short third man. Mishra was probably a bit slow as well to come down on the slide and bowler clearly wasn't happy with the effort"
4603,"out Bowled!! The off pole has gone for a walk! What a sight for any fast bowler and bowler is thrilled! Horror stroke from Mayank though and he has wasted another start. Slightly short of a good length around off, this was just above 145kph and that's what probably foxed Mayank who was expecting the slower ball. No excuse for the shot though, a wild slog across the line and misses it completely. Ruffled his pad before crashing into the stumps. DD are right on top here. batsman b bowler 21(16) [4s-3]"
4604,"FOUR, poor delivery to start off. Short and wide outside off, batsman reaches for it and punches it firmly through the gap at cover"
4605,"1 run, dropped? Just grazes his fingertips. Fizzes in the quicker one on a fuller length, SKY got forward and got sucked into the drive, he miscued it off the cue end and the ball just evaded Rashid in his followthrough. He did well to bend low, but just couldn't lock his wrists"
4606,"FOUR, short and wide, Krunal takes full toll of it, rocks back and nails the cut behind square"
4607,"out Lbw!! Much-needed wicket for team. Never looked close to the naked eye, but technology - as ever - always finds a way to surprise us. That quick release off the wrists from bowler, that canny variations off the front of the hand... batsman unfortuantely didn't read it well. Was playing for the ball spinning into him and was a tad late in bringing his bat down. The ball zoomed back in at a rapid pace to catch him close for a lbw call. Not a confident appeal, but team make full use of the DRS system. batsman lbw b bowler 24(20) [4s-4]"
4608,"SIX, full and right in KP's arc, he has no second thoughts. Just dismisses it out of his presence by using those long levers to full effect, sent into the galaxy. Over long-on"
4609,"out Caught by Dhawan!! Reminiscent of Sarfaraz Khan's dismissal against team. Neatly guided down to lone slip. KP hung back to this legbreak and was wanting to glide the ball past the slip, the ball arrives much quicker and lobs low off the splice off the bat. Five down team. Well judged catch from SD considering the pace and height on that. batsman c Dhawan b bowler 9(6) [6s-1]"
4610,"out Caught by Rashid Khan!! Huge wicket in the context of the game. Back of a length, angling into the hip, SKY's eyes lit up on seeing the short ball in that channel and he fell back onto his favourite shot in the cricket dictionary - the whip pull. Hit it too good and looped up in the air for deep square to take a straightforward catch. batsman c Rashid Khan b bowler 34(38) [4s-4]"
4611,"out Lbw!! Nowhere near the line of the delivery, played all around it and was a dead duck. Siddarth Kaul got the ball to hold its line around middle stump and the ball didn't rise as much, batsman was searching for it but couldn't prevent the ball from smashing his pads. Plumb. Just below the knee roll. Umpire S Ravi's finger went up instantly and in the meantime the duo looked to steal a non-existent single. batsman was sent back and had to put in a dive. batsman lbw b bowler 0(2)"
4612,"out Lbw!! Can't get more plumb than that. Easier one for the umpire too. Full and straight from Siddarth Kaul, batsman went for the cross bat shot and missed the line completely. Gets hit low on the pad and looked guilty straightaway. No reviews left for team. Siddarth Kaul is pumped up and so is the entire team team. batsman lbw b bowler 1(2)"
4613,"1 run, half-a-chance. Seam-up delivery, gets great bounce outside off, batsman runs it off the splice of the bat and it evades Dhawan to his right, he dived full length but could only manage a fingertip on that"
4614,"out Caught by Basil Thampi!! Caught at third man. That's the end of batsman and most probably the game for team? Sid Kaul, you bewdy. Look at him go. Oh, give him a machine or else he might end up digging the pitch with his fists. Nice change of pace from him, bowls it far from off-stump of batsman asking him to fetch from there. Pandya slogs and could only lob it as far as third man. Good running catch from Thampi. batsman c Basil Thampi b bowler 3(19)"
4615,"FOUR, angled in, all batsman needed to do was help the ball finds its direction, he swivels and manages decent contact on the pull to slam the ball backwards of square leg"
4616,"out Caught by (sub)Deepak Hooda!! Sunrisers have pulled this off miraculously. Fifth loss for team. Second lowest ever total defended in IPL history. What.A.Thriller. Final wicket razzmatazz: Short ball angled in, batsman top-edged the pull before mid-wicket swallowed the swirling ball. Easy as you like. batsman c (sub)Deepak Hooda b bowler 1(3)"
4617,"FOUR, timed to perfection that was. Short of a length delivery angled away with a bit of away swing too, batsman sits back in his crease and punches it through the gap at cover. Was in the air for a while but the placement was pretty good"
4618,"out Caught by Manish Pandey!! That's a well deserved wicket for Sandeep. batsman never looked comfortable against him. This was another full length delivery with away swing written on it, as batsman tried to flick it away, he got a leading edge to the man at point. Manish wouldn't miss out on that. Another failure for batsman in his maiden IPL season, second on the trot. batsman c Manish Pandey b bowler 5(9) [4s-1]"
4619,"FOUR, shot, good shot! Picks the length early on that. Was a shortish delivery outside off, Suryakumar doesn't miss out on it and slaps it towards mid-off. Thampi who's manning that position slips as the ball beats him and goes through. That won't please the bowler"
4620,"out Caught by (sub)Deepak Hooda!! Duck for Kishan! This is why bowler is in the team. There are many left handed batsmen in Mumbai's batting line-up, gets one of them. Tosses it up nicely and invites the batsman to come down the track. Kishan does so, goes for it and ends up spooning it up to long-off where the sub calls for it and hangs on to it. These wickets are making the match interesting. So far, so good. batsman c (sub)Deepak Hooda b bowler 0(3)"
4621,"out Caught by Dhawan!! Edged and taken! bowler likes that, claps hard after getting the team skipper. A flighted delivery outside off, batsman looks to go big, tries to loft it over the in-field but as the ball turns away, it catches his outside edge and flies straight to the lone fielder in the slip. Dhawan makes no mistake and takes it. Mumbai Indians need a Pollard special tonight, it seems. batsman c Dhawan b bowler 2(6)"
4622,"FOUR, he's been playing so well since he has been promoted. This was played very late by Suryakumar. Was a quicker delivery outside off, he went back in his crease and guided it sweetly past the man at short third man. No chance of stopping that"
4623,"FOUR, back-to-back boundaries for the opener. Picks the length early on the shortish delivery, rocks back and slams it into the gap at cover. Sweeper cover is too square to cut it off as the ball wins the race"
4624,"FOUR, beautiful. What a cracking cover-drive that was. Full length delivery around off, Pandya transfers his weight on his right knee and creams it through cover. Right into the gap and the fielders could do nothing but admire the timing and placement on it"
4625,"FOUR, good competition between bat and ball, this. Short of a length around off, Pandya does well to pummel it past the man at mid-on and get a four more"
4626,"FOUR, poor delivery to end the over. Tries for a yorker and ends up bowling a full toss. Pandya doesn't miss out on the gift and drills it past the diving Williamson to gather the third boundary of the over. Expensive over by Kaul and Mumbai fans get their voice back"
4627,"FOUR, magnificent shot. What a way to get off the mark. Wasn't a bad ball at all. On a back of a length and outside off, with extra bounce too, batsman plays a top square cut, getting on top of the bounce and hitting the gap wide of cover-point"
4628,"FOUR, beauty! batsman is in some form. bowler goes full and outside off, gets a hint of outswing too, batsman though is almost on one knee as he bent forward and then opened the bat-face at the last moment to essay a square drive that left cover-point as a spectator. Not much bowler can do when he gets to see two world-class shots like that. Credit to batsman"
4629,"FOUR, where's third man? No-one there. On a length and outside off, batsman throws the bat at that and the edge flies away to the unmanned third man fence, batsman gets a boundary to get himself going"
4630,"out Bowled!! End of batsman's painful innings. No feet and he is bowled off a thick inside edge onto pad and then falls on the off-stump. bowler is absolutely thrilled to bits. Shouting and screaming in delight. Length delivery on off-stump, batsman gets forward to drive, is late on the shot and the rest is history. batsman b bowler 5(6) [4s-1]"
4631,"no run, that is a very ambitious appeal for lbw. Pathan is a huge man and with that big stride of his, always will get his front foot outside the line, this one is the leggie and the impact looks outside off and what's more it is spinning away. Hang on - team have taken the review. Could well lose it. Replays show that the impact is outside off and that's team's review gone down the gutter"
4632,"out Bowled!! batsman doesn't want to go. But he has to. He has been bowled here. He can't believe that the ball has hit the stumps. Superb googly, tossed up and invited batsman to play the big shot. An almighty hoick to leg but only after the ball has missed the inside edge and clipped the top of middle and leg. Top-class bowling. batsman b bowler 14(10) [4s-2]"
4633,"FOUR, poor delivery and cut away. Short and wide outside off, Pathan had to miss backward point and he did that. Races away once it moved past that fielder"
4634,"out Caught by Ishan Kishan!! Gone. bowler jumps up and down in delight. Angled in on a short of length on off, batsman was trying to run it down between the keeper and the wide slip. But finds Ishan Kishan who hangs on. He is catching all the snicks tonight, apart from those, his keeping has been shoddy. batsman c Ishan Kishan b bowler 6(9)"
4635,"out Bowled!! Looks like batsman has only one shot in his arsenal. The cut. Very risky against a promising bowler. The leg-spinner fizzes off the deck and beats the late-cut, knocks the off-stump back. Not a very wise shot when he should be looking to give the strike to Pathan. batsman b bowler 3(6)"
4636,"out batsman Run Out!! Confusion. Chaos. Gone. Long way out too. Finally Kaul gets bat on ball, driven to backward point where there's a slight fumble, Kaul is desperate to get to the other end, Pathan sends him back but Pandya has all the time to direct his throw back to Ishan Kishan who does the rest, even as he almost lost the ball while attempting the run-out. After he flicked the bails off, the ball slipped out. The third umpire completes the formalities. batsman run out (Hardik Pandya/Ishan Kishan) 2(9)"
4637,"SIX, a smile from KW after that big hit. On a length and around off, too predictable these cutters from bowler, Pathan stays back and lofts cleanly miles into the stands at long-on"
4638,out Caught by Hardik Pandya!! Good catch and that's the end of the innings. Pathan really smashed the pull but Rohit has kept all his athletic fielders on the fence. Hardik at deep mid judges it to a nicety as he takes it reverse-cup over his head. A smile breaks out after he completes the catch. Pathan can't believe that he hasn't cleared the fielder. batsman c Hardik Pandya b bowler 29(33) [4s-2 6s-1]
4639,"out Caught by Ishan Kishan!! batsman walks. And Mumbai erupt. No need for the review as well. Similar to the last delivery, but a bit wide, batsman again reached out with his hands with the feet stuck, all he managed was an edge to the keeper. Ishan Kishan makes no mistake and the ploy to send batsman at 3 has backfired badly. batsman c Ishan Kishan b bowler 0(2)"
4640,"FOUR, a big confidence-booster for batsman. He wants runs and this is a fine shot. On the front foot and when he saw the back of a length delivery outside off, just knifed it on the rise. Through the vacant cover-point region for a boundary"
4641,"FOUR, when it is pitched up, batsman looks to go over the top. Has come out with an aggressive intent. This was full outside off, he lofted it cleanly and wide of mid-on"
4642,"FOUR, clean and over mid-off. The same delivery that got Saha, but batsman is in and seeing it well tonight by the looks of it. Goes over mid-off with a full bat-swing and clears the fielder comfortably"
4643,"FOUR, batsman gets lucky. Very lucky. A thick inside edge that on another day would've gone onto the stumps, misses them and runs away wide of short fine leg. The fielder didn't dive as well. Good length and on off, batsman was late on the attempted dab"
4644,"out Caught by Rohit!! ""Story of batsman"" is the comment from Sanjay M on air. Apt. Finds cover. Down the track and right off the toe of the bat, can only find the team skipper there. Clever from bowler, may have seen the batsman coming and bowled it just a bit wide from his reach. An innings which promised so much has been nipped in the bud. batsman c Rohit b bowler 16(11) [4s-3]"
4645,"out Shakib Run Out!! batsman has sold Shakib down the river here. batsman turned this to the short mid area and said an yes, Shakib too responded and then the team skipper belted out a loud no. By then Shakib was almost halfway down and Surya took his time, aimed and hit direct. What a waste of a wicket. Shakib is too disappointed to say anything. Just walks off. Shakib run out (Suryakumar Yadav) 2(4)"
4646,"byes, FOUR, short, Pathan ducks under that and lets it go. Ishan Kishan is having a bad day in the office tonight. Leaps but can only parry it over and the ball runs away for four byes. Again off bowler"
4647,"FOUR, brilliant back-cut. As late as possible. batsman cutting the ball behind him and the pace on the ball beats the chasing and diving McClenaghan. Top shot that one"
4648,"FOUR, comical from KW. He hasn't realised that the ball has crossed the fence. Keeps running and then belatedly realises. But what a good pull shot that is. Rocketed off the bat, harmless short ball around waist height, batsman murdered that and bisected the two men on the fence. Even a dive wasn't enough to stop the ball"
4649,"out Caught by Ishan Kishan!! batsman walks. Clear inside edge and the umpire's finger is up too. Nipped in a tad, from a good length, batsman had his bat face open to play the dab to third man, but it kissed the inside edge and went to the keeper. That's a wicket team ill-afforded to lose. Massive blow. batsman c Ishan Kishan b bowler 29(21) [4s-5]"
4650,"FOUR, can't seem to string 6 good balls in an over. Overpitched and batsman doesn't miss out. Gets forward and strokes it wide of cover. Sweeper had no chance at all. Right off the middle of the bat"
4651,"FOUR, too short and begging to be hit. batsman rocks back and finds the gap between long-on and deep mid with a hard pull. Right into the gap"
